"FAM6";"26";"de";"Familial (6 Personen, max. 5 Erwachsene)";"familial-6-personen-max-5-erwachsene";"Mit 2 Zimmern und Schlafcouch";;;;;"Dieses Mobilhome wird insbesondere von Familien geschätzt. Es bietet Platz für 6 Personen und kombiniert Funktionalität mit großem Komfort – für ein sorgenloses Urlaubserlebnis!";"Empfohlen für 6 Personen: 2 Erwachsene (ab 14 Jahren) + 4 Kinder, inkl. Baby
Wir akzeptieren maximal 5 Erwachsene (ab 14 Jahren) + 1 Kind, inkl. Baby";"Größe: 29 m²
7,20 x 4 m (LxB)";"1 Schlafzimmer mit 140 x 190 cm großem Bett mit Lattenrost
1 Schlafzimmer mit 2 Einzelbetten von 70 x 190 cm mit Lattenrost und 1 Stockbett (nicht geeignet für Kinder unter 6 Jahren) oder 1 Beistellbett von 60 x 190 cm
Wohn- und Esszimmer: Kochnische mit Spülbecken, Warmwasserboiler, 4 Gas-Kochplatten, Mikrowelle, Kühlschrank mit Gefrierfach, Essecke mit Sitz- oder Eckbank, die als Schlafcouch (115 x 180 cm) verstellt werden kann, 1 Tisch und 4 Stühle
Badezimmer mit Waschbecken und Dusche, WC separat";"Innen: Elektroheizung, 2 Gasflaschen
Außen: Beleuchtung, Sonnenschirm (nicht für den Strand geeignet), Gartenmöbel
Elektrizität: 10 Ampere
Parkplatz: In der Regel neben dem Mobilhome (1 Auto pro Mobilhome)";"0-7 Jahre (7-12 Jahre: le Conguel, Domaine d'Inly, les Amiaux, le
California, la Loubine, le Bois Soleil,l’Océano d’Or, Domaine d’Oléron,
Signol, les Deux Plages, Domaine
des Charmilles, le Mas, Domaine des
Chênes Verts, la Ribeyre, Caussanel,
le Moulin, les Sources, Parc de la
Grenouillère, la Coste Rouge,
le Roussillonnais, le Cala Gogo,les Fontaines, le Bahia Club, le Petit Mousse, Camping du Lac)";"Die Aufteilung kann je nach Campingplatz variieren.";;;;"1"
"FAMC";"27";"de";"Familial (6 Personen, max. 5 Erwachsene) Klimatisiert";"familial-6-personen-max-5-erwachsene-klimatisiert";"Mit 2 Zimmern und Schlafcouch";;;;;;;;;;;;;;;"1"
"FAML";"28";"de";"Familial (6 Personen, max. 5 Erwachsene) mit Blick auf den See";"familial-6-personen-max-5-erwachsene-mit-blick-auf-den-see";"Mit sanitären Einrichtungen";;;;;"Dieses Mobilhome wird insbesondere von Familien geschätzt. Es bietet Platz für 6 Personen und einen Blick auf den See –  für einen erholsamen Urlaub!";"Empfohlen für 6 Personen: 2 Erwachsene + 4 Kinder, inkl. Baby
Wir akzeptieren maximal 6 Erwachsene.";"Größe: 28 m²";"1 Schlafzimmer mit 140 x 190 cm großem Bett mit Lattenrost
1 Schlafzimmer mit 2 Einzelbetten von 80 x 190 cm mit Lattenrost    Wohn-/Esszimmer: Kochnische mit Spülbecken, Warmwasserboiler, 4 Gas-Kochplatten, Mikrowelle, Kühlschrank mit Gefrierfach, Essecke mit Sitz- oder Eckbank, die als Schlafcouch (115 x 180 cm) verstellt werden kann, 1 Tisch und 4 Stühle
Badezimmer mit Waschbecken und Dusche, WC separat";"Innen: Elektroheizung, 2 Gasflaschen
Außen: Beleuchtung, Sonnenschirm (nicht für den Strand geeignet), Gartenmöbel
Elektrizität: 10 Ampere
Parkplatz: In der Regel neben dem Mobilhome (1 Auto pro Mobilhome)";"0-7 Jahre";"Die Aufteilung kann je nach Campingplatz variieren.";;;;"1"
"HEL6";"29";"de";"Hélios (6 Personen, max. 5 Erwachsene)";"helios-6-personen-max-5-erwachsene";"Für Behinderte geeignet";;;;;"Entdecken Sie das behindertengerecht eingerichtete Mobilhome Hélios für 6 Personen.";"Empfohlen für 6 Personen: 2 Erwachsene (ab 14 Jahren) + 4 Kinder, inkl. Baby
Wir akzeptieren maximal 5 Erwachsene (ab 14 Jahren).";"Größe: 21 m²
7,92 m (davon 2,10 m überdachte Terrasse)x 3,90 m (LxB)";"1 Schlafzimmer mit 140 x 190 cm großem Bett mit Lattenrost
1 Schlafzimmer mit 2 Einzelbetten von 90 x 190 cm mit Lattenrost ( + 1 höhenverstellbares Bett)           Wohn-/Esszimmer: Kochnische mit Spülbecken, Warmwasserboiler, 4-Gas-Kochplatten, Mikrowelle, Kühlschrank mit Gefrierfach, Essecke mit Sitz- oder Eckbank, die als Schlafcouch (115 x 180 cm) verstellt werden kann, 1 Tisch und 4 Stühle
Badezimmer mit Waschbecken und Dusche, WC separat";"Innen: Elektroheizung, 2 Gasflaschen
Außen: Beleuchtung, Sonnenschirm (nicht für den Strand geeignet), Gartenmöbel
Elektrizität: 10 Ampere
Parkplatz: In der Regel neben dem Mobilhome (1 Auto pro Mobilhome)";"0-7 Jahre";"Die Aufteilung kann je nach Campingplatz variieren.";;;;"1"
"LOG5";"30";"de";"Logial (5 Personen, max. 4 Erwachsene)";"logial-5-personen-max-4-erwachsene";"Mit integrierter und überdachter Terrasse";;;;;"Profitieren Sie von unserem Mobilhome Logial und seinem unbestreitbaren Trumpf, der überdachten Terrasse, die Sie zum Ausruhen, Entspannen und Faulenzen einlädt. Die beiden nebeneinanderliegenden Zimmer sorgen für einen schönen Urlaub für die ganze Familie!";"Empfohlen für 5 Personen: 2 Erwachsene + 3 Kinder, inkl. Baby
Wir akzeptieren maximal 4 Erwachsene (ab 14 Jahren) + 1 Kind, inkl. Baby";"Größe: 32 m²
8,52 x Breite 4 m (LxB)";"1 Schlafzimmer mit 140 x 190 cm großem Bett mit Lattenrost
1 Schlafzimmer mit 2 Einzelbetten von  70 x 190 cm mit Lattenrost
+ 1 Beistellbett von 70 x 165 cm (außer auf dem Campingplatz „Palavas Camping“)
Wohn-/Esszimmer: Kochnische mit Spülbecken, Wasserboiler, 4 Gas-Kochplatten, Mikrowelle, Kühlschrank, Essecke mit Sitz- oder Eckbank.";"Innen: Elektroheizung, 2 Gasflaschen
Außen: Beleuchtung, Sonnenschirm (nicht für den Strand geeignet), Gartenmöbel
Elektrizität: 10 Ampere
Parkplatz: In der Regel neben dem Mobilhome (1 Auto pro Mobilhome)";"7-12 Jahre (0-7 Jahre: Eden,
Palavas Camping)";"Die Aufteilung kann je nach Campingplatz variieren.";"Kein Platz für ein Babybett";;;"1"
"MAI";"31";"de";"Häuschen (2 Zimmer 4-6 Personen)";"hauschen-2-zimmer-4-6-personen";"Mit Terrasse";;;;;"Mit dem Komfort, den diese klimatisierten Maisonnette-Häuser bieten, ist Ihr Urlaub mit Sicherheit ein voller Erfolg";"Empfohlen für 6 Personen: 2 Erwachsene + 4 Kinder.
Wir akzeptieren maximal 6 Erwachsene.";"Größe: 31 m²";"1 Wohnbereich, ausgestattet mit einer Schlafcouch und einem Raum mit 2 Stockbetten (70 x 190 cm), einer Kochnische, 1 Zimmer mit einem Einzelbett (140 x 190 cm) und einem Waschraum mit Toilette, der von jeden Schlafzimmer aus zugänglich ist.";"Kochnische mit Mikrowelle, Kühlschrank mit Gefrierfach, Kaffeemaschine, Küchenutensilien, Kochplatten, Waschraum mit Toilette";"0-7 Jahre";;;;;"1"
"MAIS";"32";"de";"Häuschen (2 Zimmer 2-4 Personen)";"hauschen-2-zimmer-2-4-personen";"Mit Terrasse";;;;;"Genießen Sie den Komfort dieser voll ausgestatteten und eingerichteten Maisonnette-Häuser mit Terrasse";"Empfohlen für 4 Personen: 2 Erwachsene + 2 Kinder
Wir akzeptieren maximal 4 Erwachsene.";"Größe: 31 m²";"Kochnische, Waschraum mit Toilette, 1 Schlafzimmer mit einem großen Doppelbett (160 x 190 cm) und eine Schlafcouch im Wohnzimmer.";"Kochnische mit Mikrowelle, Kühlschrank mit Gefrierfach, Kaffeemaschine, Küchenutensilien, Kochplatten. Waschraum mit Toilette";"0-7 Jahre";;;;;"1"
"OCE4";"33";"de";"Océane (4 Personen, max. 4 Erwachsene)";"oceane-4-personen-max-4-erwachsene";"Mit sanitären Einrichtungen";;;;;;;;;;;;;;;"1"
"OHA6";"34";"de";"O'Hara (6 Personen, max. 5 Erwachsene)";"o-hara-6-personen-max-5-erwachsene";"Mit sanitären Einrichtungen";;;;;;;;;;;;;;;"1"
"PAGO";"35";"de";"Pagotel (5 Personen) Klimatisiert";"pagotel-5-personen-klimatisiert";"Mit sanitären Einrichtungen";;;;;"Entdecken Sie diese raffiniert konzipierte Unterkunft mit Klimaanlage – eine Mischung aus Zelt und Mobilhome für einen außergewöhnlichen und Energie spendenden Urlaub.";"Empfohlen für 5 Personen: 2 Erwachsene + 3 Kinder.
Wir akzeptieren maximal 5 Erwachsene.";"Größe: 25 m²";"1 Schlafzimmer mit Doppelbett (120 x 190 cm), 1 Schlafzimmer mit 2 Stockbetten und 1 Einzelbett von 80 x 190 cm, Nachttisch und Schrank in beiden Schlafzimmern.

Kochnische mit Kochplatte, Spülbecken, Geschirrständer, Kühlschrank, 1 Hoch- und Unterschrank, Waschraum mit Dusche, Waschbecken, WC.";"Beleuchtung, Elektrizität, Heizung. Fließendes kaltes und warmes Wasser. Klimaanlage, Vordach, Terrasse und Gartenmöbel.";"0-7 Jahre";;;;;"1"
